bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
94,0.025,0.03750000000000009,[2.62753853087337577169242892663372734991579170 +/- 4.26e-45],2.627538530873376,True,1625,44,389,402,22,20,[157.709203843257804774094089315 +/- 1.90e-28]
95,0.03750000000000009,0.050000000000000044,[2.62324023917089205722562874837381982551059769 +/- 4.11e-45],2.623240239170892,True,1149,44,275,278,22,21,[198.304027986143056841551596779 +/- 4.93e-28]
96,0.050000000000000044,0.0625,[2.615227624937015564397063294062228355707166471 +/- 9.19e-46],2.6152276249370154,True,1311,44,316,318,22,20,[308.196847215880574395436216163 +/- 2.05e-28]
97,0.0625,0.07499999999999996,[2.60292620801067978358258438092686955664216567 +/- 4.02e-45],2.60292620801068,True,1263,44,304,306,22,20,[298.936510024177431665939351210 +/- 4.40e-28]
98,0.07499999999999996,0.08750000000000013,[2.588933690287954461727918755268959337325605490 +/- 8.36e-46],2.5889336902879543,True,1253,40,297,310,20,19,[261.011153489403625517781948665 +/- 3.71e-29]
99,0.08750000000000013,0.10000000000000009,[2.57401945425267395362498687384602617720513700 +/- 1.23e-45],2.574019454252674,True,1767,44,417,445,22,19,[266.342450888681481675835364845 +/- 2.84e-28]
100,0.10000000000000009,0.11250000000000004,[2.559272546424432903986195863953915453594388003 +/- 9.03e-46],2.559272546424433,True,1463,44,346,364,22,19,[269.486369888840257006690424974 +/- 1.12e-28]
101,0.11250000000000004,0.125,[2.54448393821080506580038474357780467785673901 +/- 5.69e-45],2.544483938210805,True,1397,44,333,344,22,20,[277.725684303841145925673083195 +/- 4.05e-28]
102,0.125,0.13749999999999996,[2.52974126422389945839825530870928567095423731 +/- 2.55e-45],2.5297412642238997,True,1503,44,358,372,22,20,[272.537486948099649861017601695 +/- 2.08e-28]
103,0.13749999999999996,0.15000000000000013,[2.51532079991745394393237872089340944643228829 +/- 3.54e-45],2.515320799917454,True,1469,44,348,365,22,20,[271.569686544503359928140707960 +/- 4.27e-28]
104,0.15000000000000013,0.1625000000000001,[2.50130909468001619118366704787075625908079053 +/- 2.74e-45],2.5013090946800163,True,1445,44,340,361,22,20,[270.628754021501569231043972898 +/- 1.02e-28]
105,0.1625000000000001,0.17500000000000004,[2.48761458694990434329491408813328958479610123 +/- 5.52e-45],2.4876145869499044,True,2469,52,565,642,24,21,[277.783073306620053848119727415 +/- 4.94e-28]
106,0.17500000000000004,0.1875,[2.47422943863112281791654924887320065102151176 +/- 6.11e-45],2.4742294386311228,True,2017,48,460,525,24,21,[282.304638153035570115234208036 +/- 2.02e-28]
107,0.1875,0.20000000000000018,[2.46114376159486424925907992055147599025073844 +/- 2.07e-45],2.4611437615948644,True,1745,48,392,457,24,21,[285.179311792012907913882074371 +/- 2.32e-28]
108,0.20000000000000018,0.21250000000000013,[2.44832450199316400248688275669310044834612351 +/- 2.71e-45],2.448324501993164,True,1561,48,348,409,24,21,[286.598997833281460372739737386 +/- 2.33e-28]
109,0.21250000000000013,0.2250000000000001,[2.435720489126094627672799565666579240312562767 +/- 9.61e-46],2.4357204891260946,True,1445,48,320,379,24,21,[290.531043475719833395549079096 +/- 4.72e-28]
110,0.2250000000000001,0.23750000000000004,[2.42327109045121423589708174565986464119364850 +/- 5.13e-45],2.4232710904512142,True,1339,48,298,348,24,20,[292.889410684177338516014871343 +/- 2.89e-28]
